Title,Labels,Type,Description,URL
MP Progress Dashboard - screen does not scroll all the way and gets stuck when using arrow,"5.5.0 bug, 5.5.1, md, mp progress dashboard, release notes, requestor: pnc, validated by developer",bug,"When on MP Progress Dashboard 
and select Wave
and click the heather
then the screen does not scroll all the way 
and gets stuck when using arrow.
*ENDSTORY*

**steps to reproduce**
1. Navigate to MP Progress dashboard
2. select a wave and click apply (P5W2 used in example)
3. click on the header area and arrow down to scroll

**expected outcome** able to scroll up and down the screen
**actual outcome**
1. only partially scrolls
2. screen gets stuck
3. have to click in the chart area below the headers or use the scroll bar on the right to be able to move again

dev and QA
https://i.gyazo.com/518e0cbf2d9b913501036f3b4eaf7118.gif
",https://www.pivotaltracker.com/story/show/154574328
Contacts - Download Contact template to use for Import,"5.5.1, contacts, data transformations, release notes, requestor: roadmap, validated by developer",feature,"'As MD Admin, SuperAdmin, User and PowerUser
I want to be able to download Contacts Template from MD
as CSV file along with description how to populate it.
*ENDSTORY*

How to Invoke
Next to Manage ->Data
Data (when you hover over it reads Data Transformation)
-> Download Contacts Template

Contacts Template is CSV file as follows:
•	Template fields:
•	FirstName - (M) – VarChar64
•	Middle Name - (O) – VarChar50
•	LastName - (M) – VarChar64
A contact with the same Name cannot exist more than once with the same Email Address
•	Email - (M) – VarChar256
Email address must be unique
•	Phone - (O) – VarChar64
•	Address 1 – (O) VarChar1024
•	Address 2 – (O) - VarChar1024
•	City – (O) - VarChar128
•	State - VarChar128
•	Zip Code – VarChar40
•	Country – (O) – VarChar (128)
•	Phone (O) – VarChar (64)
•	Description (description) - VarChar 1024
•	Position - (O) - VarChar100
•	Manager – (O) - VarChar254
MD does not validate if Manager exists as a Contact
•	Department – (O) - (O) – VarChar64
•	Employer - (O) - VarChar100
•	EmployerAddressOne (O) - VarChar1024
•	EmployerAddressTwo (O) - VarChar1024
•	EmployerCity (O) - VarChar100
•	EmployerZipCode (O) – VarChar40
•	EmployerPhone (O) – VarChar64
•	EmployerEmail (O) – VarChar256
•	Team
list of teams, semi-colon delimited, will be validated against MD and if not will provide the option to insert
•	Active – Y/N
if black MD will assume Yes

The File is a zip file containing two files:
1.	Contacts template in CSV file format –this will be blank but MD will be using this tab to load the data
2.	Sample as  excell file– this file will have Field Name, Field Type, Description and one or two sample records

AC:
User can download Contacts Template and Sample
",https://www.pivotaltracker.com/story/show/154539157
"Activities dashboard - left click on ""wave name"" navigates to an empty Wave dashboard","5.5.1, activity dashboard, release notes, reproduced in dev, requestor:pnc, validated by developer, verified by qa - pass",bug,"When on Activities dashboard
and hover over a ""wave name"" in Wave column
(user is presented with message ""Click to go to ""wave name"" dashboard page. Ctrl-and click to open it in a new tab"")
then MD navigates to Wave Dashboard
and Wave Dashboard filter populate except for Asset Type filter 
and there are no results.
*ENDSTORY* 

**expected outcome** - opens a wave dashboard filtered to that that wave
**actual outcome** - opens an empty wave dashboard

https://gyazo.com/4b42f40139cac90ec3d92f5f0c869968",https://www.pivotaltracker.com/story/show/154696597
Activity Dashboard - Multiple assignees overlap,"5.5.1, release notes, validated by developer, verified by qa - pass",bug,"When on Activity Dashboard
and Activity has multiple Assignees
the names overlap
while expected to All show when hoovering over.
*ENDSTORY*

AC
at the RE is limited, make them display open hover over",https://www.pivotaltracker.com/story/show/154696777
Activities Dashboard - Remove Column Filter on LOB not working,"5.5.1, release notes, reproduced in dev, validated by developer, verified by qa - pass",bug,"When on Activities Dashboard (take note of # of records (total in Prod = 73304)
and user right clicks on a filter LOB (filter on C&IB and AMG - note # of records returned  in Prod = 17817)
and right click on filter (LOB), choose ""Remove LOB Column Filter""
then total records do not revert to the count prior to applying the filter.
*ENDSTORY*

**expected result** 
1. filters removed, 
2. bread crumbs are gone and the 
3. total # of records revert to previous #

**actual result**
1. filter not removed
2. bread crumbs remain
3. total number of records has not changed ",https://www.pivotaltracker.com/story/show/154696704
Wave Management - moving child templates in a wave does not work properly,"5.5.0 bug, 5.5.1, release notes, requestor: pnc, requestor:pnc, validated by developer",bug,"When user has Wave Management permissions
and Templates are associated with a Wave  - both parent and child/children
then not always possible to change the order of Templates with inconsistent MD behaviour.
*ENDSTORY*

**steps to replicate**

issue 1 - adding a parent template to a wave and moving a child template
1. navigate to Waves>Template Activities
2. Open Activity Templates for *BAU 18EXE34*
3. Add parent template *6 - Migration Activities BAU 2017 (Full)*
4. Click arrows to move a *6 - Migration Activities* child template
5. Move between *5 - DR BAU 2017* and *7 - Decommission Activities*
6. Click arrows to move another *6 -  Migration Activities* child template

**Expected Outcome** - option to move anywhere in the wave
**Actual Outcome** - no option to move anywhere in 7 - Decommission Activities 

7. Click arrows to move another *6 - Migration Activities* child template

**Expected outcome** - able to move the 3rd template
**Actual outcome** - will swap positions of two of the *6 - Migration Activities* child templates

issue 2 - after adding single child templates to wave, will not move to the position chosen
1. add a child wave to *BAU 18EXE34*
2. click arrows to move position of child template
3. click a spot between 2 child templates (Ex *3 - Permit to Operate BAU 2017 Prod Move* and *3 - Permit to Operate BAU 2017 SA Changes*)

Expected outcome - child template is inserted in spot chosen
Actual outcome - child template either inserts at the top or bottom of the parent template list (in example *3 - Permit to Operate* templates)

#### See attached GIF

##### *I need all of the 6 - Migration Activity child templates moved above the 7 - Decommission Activities templates in Prod in wave BAU 18EXE34*",https://www.pivotaltracker.com/story/show/154681287
Contacts - Export,"5.5.1, data transformations, release notes, requestor:power user, validated by developer, verified by qa - pass",feature,"
As MD User (Admin, SuperAdmin, User and PowerUser)
I want to be able to Export Contacts from MD
Into the CSV Contact Template.
*ENDSTORY*

AC
Manage – Contacts
MD shows Export button
Contacts are exported in the standard format CSV as specified the Blocker ticket",https://www.pivotaltracker.com/story/show/154545110
Guest role permissions issues,"5.5.1, release notes, user permissions, validated by developer",bug,"As Guest user irrespective of my permissions to LOB and Asset
I should not be able to make updates in MD
but only view information.
*ENDSTORY*

Guest with LOB or Asset permissions should have read-only rights (view) for everything.

Issues list:

1) Asset Dashboard (Edit asset right tab), Asset Activity page, Asset Links Dashboard - Guest (with lob permissions) should not be permitted to add links - two pages are failing. 

2) Asset Dashboard - guest with LOB permissions should not be able to edit any asset - all ""pencil"" icons should be disabled

3) Asset Dashboard - guest with LOB permissions should not be able to add any tags

4) Asset Dashboard - guest with LOB permissions should not be able to add/edit/delete any notes

5) Asset Activity page - asset wave block  - guest with LOB permissions should not be able to add/edit/delete any notes

6) Asset Activity page - guest with LOB permissions should not be able to update an activity. 

7) Asset Activity page - guest with LOB permissions should not be able to add note to activity
 ",https://www.pivotaltracker.com/story/show/154731545
Asset Activity page Guest user permissions - it should not be permitted for guest to add/edit/delete the contact,"5.5.1, release notes, user permissions, validated by developer, verified by qa - pass",feature,"As Guest user irrespective of my permissions to LOB and Asset
I should not be able to make updates in MD
but only view information.
*ENDSTORY*


Given: Guest user is logged to MD
and: Asset activity page is opened for asset witch guest has permissions to
and: guest add\edit\delete the contact on asset-activity page

Then: FAIL: this should be disabled for the Guest user",https://www.pivotaltracker.com/story/show/154847776
MP import: option to N/A status when importing Activities without sub-activities,"5.5.1, mp import, release notes, requestor:pnc, validated with developer, verified by qa - pass",feature,"As a user
when I import a Migration Plan on the asset activity page
and an Activity does not have any sub-activities in the excel cutover plan
and an Activity does not have %C
and the Activity's RAG has not been previously overridden
I want the option to have MD mark the Activity as NA
*ENDSTORY*
_____________________________________________________________________
Preconditions
1. the user has access to upload and edit Migration Plans
2. asset is assigned to a wave with a MP template applied
3. the user has a completed Excel cutover plan with Activities that do not have any sub-activities and are marked NA in the plan

**TC1**
1. navigate to the asset activity page
2. click Import MP Sub-activities
3. choose file click import
4. count the number of Activities with no sub-activities
5. provide a message to the user with the option for MD to override the Activity's RAG's to NA upon import
6. if user chooses yes, MD overrides the Activity RAG's to NA (grey)
7. Activity is NA on Harvey Ball, Delivery Dashboard and asset activity page

**TC2**
If Any Activity has progress (5C) or already overridden RAG it will be excluded.

**TC3**
Message
There are x Activities without any subactivities, %C or overridden RAG. Do you want MD to override them? Y/N""

**TC4**
Asset Specific MP Activities are excluded from this logic.",https://www.pivotaltracker.com/story/show/151371307
